stockNum,askPrice,isNew,color,brandName,modelName,vf_WheelSizeFront,vf_WheelSizeRear,vf_Wheels,vf_Windows
C181341,15128,True,Red,CHEVROLET,Sonic,15,15,4,4
C181058,15424,True,Blue Metallic,CHEVROLET,Sonic,15,15,4,4
C181349,15128,True,Nightfall Gray,CHEVROLET,Sonic,15,15,4,4
C181350,15424,True,Blue Metallic,CHEVROLET,Sonic,15,15,4,4
C181339,19335,True,Summit White,CHEVROLET,Malibu,17,17,4,4
C180320,17461,True,Mosaic Black,CHEVROLET,Malibu,16,16,4,4
C170308,15344,True,Silver Ice Metallic,CHEVROLET,Cruze,16,16,4,6
C181377,20982,True,Silver Ice Metallic,CHEVROLET,Malibu,17,17,4,4
C180673,13142,True,Mosaic Black,CHEVROLET,Cruze,15,15,4,4
C181355,16716,True,Summit White,CHEVROLET,Malibu,16,16,4,4
C180641,14611,True,Mosaic Black,CHEVROLET,Cruze,15,15,4,4
C181243,14611,True,Silver Ice Metallic,CHEVROLET,Cruze,15,15,4,4
C180638,14691,True,Mosaic Black,CHEVROLET,Cruze,15,15,4,4
180804,48802,True,Crystal White Tricoat,CADILLAC,CTS,17,17,4,4
C180742,14611,True,Mosaic Black,CHEVROLET,Cruze,15,15,4,4
C180578,14716,True,Mosaic Black,CHEVROLET,Cruze,15,15,4,4
C180621,14611,True,Red Hot,CHEVROLET,Cruze,15,15,4,4
C190054,13351,True,Passion Fruit,CHEVROLET,Spark,15,15,4,4
C180987,28298,True,Iridescent Pearl Tricoat,CHEVROLET,Malibu,18,18,4,4
180104,35456,True,Black Metallic,CADILLAC,ATS,17,17,4,4
C181381,21482,True,Mosaic Black,CHEVROLET,Malibu,17,17,4,4
C181363,17216,True,Mosaic Black,CHEVROLET,Malibu,16,16,4,4
C181382,21482,True,Mosaic Black,CHEVROLET,Malibu,17,17,4,4
CD106403,0,True,Black,BUICK,LaCrosse,18,18,4,4
CD105649,0,True,Quartz,BUICK,LaCrosse,18,18,4,4
C181398,17216,True,Mosaic Black,CHEVROLET,Malibu,16,16,4,4
C180643,14816,True,Red Hot,CHEVROLET,Cruze,15,15,4,4
C180758,14611,True,Silver Ice Metallic,CHEVROLET,Cruze,15,15,4,4
C181364,18216,True,Mosaic Black,CHEVROLET,Malibu,16,16,4,4
C181353,18216,True,Mosaic Black,CHEVROLET,Malibu,16,16,4,4
C181351,15600,True,Silver Ice,CHEVROLET,Sonic,15,15,4,4
C190008A,14611,False,Silver Ice Metallic,CHEVROLET,Cruze,15,15,4,4
C180246,14751,True,Silver Ice Metallic,CHEVROLET,Cruze,15,15,4,4
C181204,14611,True,Red Hot,CHEVROLET,Cruze,15,15,4,4
180160,37618,True,Red Obsession Tintcoat,CADILLAC,ATS,17,17,4,4
C181366,18216,True,Mosaic Black,CHEVROLET,Malibu,16,16,4,4
C180803,14804,True,Silver Ice Metallic,CHEVROLET,Cruze,15,15,4,4
C180243,14431,True,Silver Ice Metallic,CHEVROLET,Cruze,15,15,4,4
C180835,14361,True,Red Hot,CHEVROLET,Cruze,15,15,4,4
C181311,18233,True,Mosaic Black,CHEVROLET,Cruze,16,16,4,4
C190056,13351,True,Summit White,CHEVROLET,Spark,15,15,4,4
C181361,17966,True,Summit White,CHEVROLET,Malibu,16,16,4,4
C181371,23530,True,Mosaic Black,CHEVROLET,Malibu,17,17,4,4
C180289,14471,True,Mosaic Black,CHEVROLET,Cruze,15,15,4,4
180711,52629,True,Black Metallic,CADILLAC,CT6,18,18,4,4
C180798,14594,True,Silver Ice Metallic,CHEVROLET,Cruze,15,15,4,4
C180870,14554,True,Silver Ice Metallic,CHEVROLET,Cruze,15,15,4,4
C180796,14361,True,Summit White,CHEVROLET,Cruze,15,15,4,4
C190055,13705,True,Caribbean Blue Metallic,CHEVROLET,Spark,15,15,4,4
180662,40856,True,Quartz,BUICK,LaCrosse,18,18,4,4
C181410,17966,True,Summit White,CHEVROLET,Malibu,16,16,4,4
C181404,22402,True,Mosaic Black,CHEVROLET,Malibu,17,17,4,4
C180837,14111,True,Summit White,CHEVROLET,Cruze,15,15,4,4
C181378,18006,True,Silver Ice Metallic,CHEVROLET,Malibu,16,16,4,4
C181166,17966,True,Mosaic Black,CHEVROLET,Malibu,16,16,4,4
C181380,25087,True,Mosaic Black,CHEVROLET,Malibu,17,17,4,4
C180882,13914,True,Mosaic Black,CHEVROLET,Cruze,15,15,4,4
C180792,13694,True,Summit White,CHEVROLET,Cruze,15,15,4,4
C180766,13611,True,Mosaic Black,CHEVROLET,Cruze,15,15,4,4
C181406,22402,True,Silver Ice Metallic,CHEVROLET,Malibu,17,17,4,4
C190287,11471,True,Red,CHEVROLET,Spark,15,15,4,4
C181343,20939,True,Cajun Red Tintcoat,CHEVROLET,Malibu,17,17,4,4
C181277,13611,True,Summit White,CHEVROLET,Cruze,15,15,4,4
C180784,13611,True,Summit White,CHEVROLET,Cruze,15,15,4,4
C180646,13611,True,Summit White,CHEVROLET,Cruze,15,15,4,4
C180773,13804,True,Summit White,CHEVROLET,Cruze,15,15,4,4
C181374,17966,True,Silver Ice Metallic,CHEVROLET,Malibu,16,16,4,4
C181397,17966,True,Mosaic Black,CHEVROLET,Malibu,16,16,4,4
C180887,13804,True,Summit White,CHEVROLET,Cruze,15,15,4,4
C180874,13611,True,Mosaic Black,CHEVROLET,Cruze,15,15,4,4
190023,64240,True,Black Metallic,CADILLAC,XTS,20,20,4,4
C180871,13910,True,Red Hot,CHEVROLET,Cruze,15,15,4,4
180308,42987,True,Red Obsession Tintcoat,CADILLAC,CTS,17,17,4,4
C180741,13611,True,Silver Ice Metallic,CHEVROLET,Cruze,15,15,4,4
C190058,13351,True,Toasted Marshmallow,CHEVROLET,Spark,15,15,4,4
C190053,11471,True,Mosaic Black,CHEVROLET,Spark,15,15,4,4
180134,44998,True,Crystal White Tricoat,CADILLAC,XTS,19,19,4,4
C180283,13651,True,Summit White,CHEVROLET,Cruze,15,15,4,4
C180630,16647,True,Graphite,CHEVROLET,Cruze,16,16,4,4
C180802,13611,True,Red Hot,CHEVROLET,Cruze,15,15,4,4
180553,32357,True,Summit White,BUICK,Regal,18,18,4,6
C180278,13671,True,Silver Ice Metallic,CHEVROLET,Cruze,15,15,4,4
CP6278,14500,False,Graphite Silver Metallic,CHEVROLET,Sonic,17,17,4,4
C180767,13804,True,Red Hot,CHEVROLET,Cruze,15,15,4,4
C170399,17650,True,Orange Burst,CHEVROLET,Cruze,16,16,4,6
C181133,16587,True,Mosaic Black,CHEVROLET,Malibu,16,16,4,4
C190057,12851,True,Toasted Marshmallow,CHEVROLET,Spark,15,15,4,4
C181438,19621,True,Mosaic Black,CHEVROLET,Cruze,16,16,4,4
C180781,13611,True,Silver Ice Metallic,CHEVROLET,Cruze,15,15,4,4
C181071,13817,True,Summit White,CHEVROLET,Sonic,15,15,4,4
C190360,18766,True,Summit White,CHEVROLET,Malibu,16,16,4,4
C180383,19222,True,Cajun Red Tintcoat,CHEVROLET,Malibu,17,17,4,4
C181321,17506,True,Steel Metallic,CHEVROLET,Cruze,16,16,4,4
190253,40888,True,Quartz,BUICK,LaCrosse,18,18,4,4
C181370,22030,True,Summit White,CHEVROLET,Malibu,17,17,4,4
C190378,18766,True,Shadow Gray Metallic,CHEVROLET,Malibu,16,16,4,4
C181429,19945,True,Mosaic Black,CHEVROLET,Malibu,17,17,4,4
C181172,12126,True,Splash,CHEVROLET,Spark,15,15,4,4
C180645,13611,True,Red Hot,CHEVROLET,Cruze,15,15,4,4
C180838,13611,True,Silver Ice Metallic,CHEVROLET,Cruze,15,15,4,4
C180650,16919,True,Red Tintcoat,CHEVROLET,Cruze,16,16,4,4
C181017,14722,True,Summit White,CHEVROLET,Cruze,15,15,4,4
C180839,13611,True,Red Hot,CHEVROLET,Cruze,15,15,4,4
C181441,13860,True,Red Hot,CHEVROLET,Cruze,15,15,4,4
C190404,13593,True,Mosaic Black,CHEVROLET,Cruze,15,15,4,4
C181085,20577,True,Mosaic Black,CHEVROLET,Malibu,16,16,4,4
C190069,10471,True,Toasted Marshmallow,CHEVROLET,Spark,15,15,4,4
CP6188,11590,False,Graphite Silver Metallic,CHEVROLET,Sonic,17,17,4,4
170319,29988,True,Crimson Red Tintcoat,BUICK,LaCrosse,18,18,4,4
180792,48270,True,Crystal White Tricoat,CADILLAC,CT6,18,18,4,4
C180649,17316,True,Mosaic Black,CHEVROLET,Cruze,16,16,4,4
190169,43566,True,White Frost Tricoat,BUICK,LaCrosse,18,18,4,4
C180286,18695,True,Mosaic Black,CHEVROLET,Cruze,16,16,4,4
C181399,19085,True,Mosaic Black,CHEVROLET,Malibu,17,17,4,4
C190416,14043,True,Nightfall Gray,CHEVROLET,Sonic,15,15,4,4
C181379,20732,True,Summit White,CHEVROLET,Malibu,17,17,4,4
CD136207,0,True,Blue Metallic,CHEVROLET,Malibu,17,17,4,4
P4486,15990,False,Tungsten Metallic,CHEVROLET,Cruze,16,16,4,4
C190287,10471,True,Red,CHEVROLET,Spark,15,15,4,4
C190493,19628,True,Mosaic Black,CHEVROLET,Cruze,17,17,4,4
190022,57240,True,Bronze,CADILLAC,XTS,19,19,4,4
CP6302,14890,False,Graphite Metallic,CHEVROLET,Cruze,16,16,4,4
C181373,32150,True,Summit White,CHEVROLET,Volt,17,17,4,6
C180992,14966,True,Nightfall Gray,CHEVROLET,Malibu,16,16,4,4
C181400,16466,True,Summit White,CHEVROLET,Malibu,16,16,4,4
C190268,34900,True,Kinetic Blue,CHEVROLET,Bolt EV,17,17,4,4
C190477,18412,True,Red Hot,CHEVROLET,Cruze,15,15,4,4
C190514,18412,True,Silver Ice Metallic,CHEVROLET,Cruze,15,15,4,4
190191,36215,True,Pepperdust,BUICK,LaCrosse,18,18,4,4
C190489,18412,True,Silver Ice Metallic,CHEVROLET,Cruze,15,15,4,4
C190340,23290,True,Pacific Blue Metallic,CHEVROLET,Malibu,17,17,4,4
C170356,18689,True,Orange Burst,CHEVROLET,Cruze,16,16,4,6
180767,26600,True,Ebony Twilight,BUICK,Regal,18,18,4,6
C190491,17517,True,Silver Ice Metallic,CHEVROLET,Cruze,15,15,4,4
CP6300,13690,False,Tungsten Metallic,CHEVROLET,Cruze,16,16,4,4
190245,32209,True,Satin Steel Gray Metallic,BUICK,LaCrosse,18,18,4,4
C181153,17966,True,Nightfall Gray,CHEVROLET,Malibu,16,16,4,4
C170783,23764,True,Summit White,CHEVROLET,Impala,18,18,4,4
C180588,17411,True,Mosaic Black,CHEVROLET,Cruze,16,16,4,4
C180605,17893,True,Summit White,CHEVROLET,Cruze,16,16,4,4
C180746,17998,True,Silver Ice Metallic,CHEVROLET,Malibu,16,16,4,4
190325,58915,True,Red Horizon Tintcoat,CADILLAC,XTS,19,19,4,4
C190513,17517,True,Mosaic Black,CHEVROLET,Cruze,15,15,4,4
C190564,17577,True,Silver Ice Metallic,CHEVROLET,Cruze,15,15,4,4
180766,36615,True,Ebony Twilight,BUICK,Regal,18,18,4,6
C170988,24640,True,Pepperdust,CHEVROLET,Cruze,16,16,4,6
170538,53998,True,Radiant Silver Metallic,CADILLAC,CT6,19,19,4,4
C190578,14730,True,Red Hot,CHEVROLET,Cruze,15,15,4,4
C190301,20266,True,Pacific Blue Metallic,CHEVROLET,Malibu,16,16,4,4
C190283,9971,True,Grey,CHEVROLET,Spark,15,15,4,4
CP6315,19990,False,Pepperdust Metallic,CHEVROLET,Impala,18,18,4,4
C190044,13351,True,Grey,CHEVROLET,Spark,15,15,4,4
C190492,17479,True,Silver Ice Metallic,CHEVROLET,Cruze,16,16,4,4
C181402,17216,True,Silver Ice Metallic,CHEVROLET,Malibu,16,16,4,4
C181360,17216,True,Silver Ice Metallic,CHEVROLET,Malibu,16,16,4,4
C181401,19835,True,Summit White,CHEVROLET,Malibu,17,17,4,4
190076A,9900,False,Splash,CHEVROLET,Spark,15,15,4,4
C181384,17216,True,Silver Ice Metallic,CHEVROLET,Malibu,16,16,4,4
C190325,18516,True,Mosaic Black,CHEVROLET,Malibu,16,16,4,4
C181401A,13450,False,Arctic Blue Metallic,CHEVROLET,Cruze,15,15,4,4
C190284,11011,True,Passion Fruit,CHEVROLET,Spark,15,15,4,4
190261,53882,True,Crystal White Tricoat,CADILLAC,CT6,18,18,4,4
180408,22513,True,Ebony Twilight,BUICK,Regal,18,18,4,6
C181337,27544,True,Mosaic Black,CHEVROLET,Malibu,18,18,4,4
C190549,22428,True,Mosaic Black,CHEVROLET,Malibu,17,17,4,4
180151A,30990,False,White Frost,BUICK,LaCrosse,18,18,4,4
C181383,21482,True,Summit White,CHEVROLET,Malibu,17,17,4,4
CP6324,20990,False,Ebony Twilight Metallic,BUICK,Regal,18,18,4,6
CP6327,14831,False,Tungsten Metallic,CHEVROLET,Cruze,16,16,4,4
C190045,12891,True,Mosaic Black,CHEVROLET,Spark,15,15,4,4
C190155,11323,True,Caribbean Blue Metallic,CHEVROLET,Spark,15,15,4,4
180289C,17990,False,Black Metallic,CHEVROLET,Malibu,17,17,4,4
CP6309,14300,False,Tungsten Metallic,CHEVROLET,Cruze,16,16,4,4
M180191A,13900,False,Graphite Silver Metallic,CHEVROLET,Sonic,15,15,4,4
CP6277,10200,False,Graphite Silver Metallic,CHEVROLET,Sonic,15,15,4,4
190032,40066,True,White Frost Tricoat,BUICK,LaCrosse,18,18,4,4
C190485,14912,True,Mosaic Black,CHEVROLET,Cruze,15,15,4,4
C181231,19370,True,Mosaic Black,CHEVROLET,Cruze,16,16,4,4
C190472,14912,True,Oakwood Metallic,CHEVROLET,Cruze,15,15,4,4
C190664,14017,True,Summit White,CHEVROLET,Cruze,15,15,4,4
CP6308,14990,False,Silver Ice Metallic,CHEVROLET,Cruze,16,16,4,4
C190612,19575,True,Mosaic Black,CHEVROLET,Malibu,18,18,4,4
C190686,19789,True,Summit White,CHEVROLET,Malibu,18,18,4,4
C190410,18501,True,Mosaic Black,CHEVROLET,Cruze,16,16,4,4
C190687,14180,True,Summit White,CHEVROLET,Cruze,15,15,4,4
CP6349,15799,False,Black,CHEVROLET,Cruze,16,16,4,6
C190576,14017,True,Red Hot,CHEVROLET,Cruze,15,15,4,4
C181326,17506,True,Summit White,CHEVROLET,Malibu,16,16,4,4
C190652,15397,True,Kinetic Blue,CHEVROLET,Sonic,15,15,4,4
C190453,30907,True,Summit White,CHEVROLET,Impala,18,18,4,4
C190303,17563,True,Shadow Gray Metallic,CHEVROLET,Malibu,16,16,4,4
CP6329,14990,False,Graphite Metallic,CHEVROLET,Cruze,16,16,4,4
C181453,16454,True,Steel Metallic,CHEVROLET,Cruze,16,16,4,4
C190439,14801,True,Red,CHEVROLET,Sonic,16,16,4,4
C190286,11851,True,Red,CHEVROLET,Spark,15,15,4,4
C181322,18256,True,Red,CHEVROLET,Cruze,16,16,4,4
C190285,11851,True,Toasted Marshmallow,CHEVROLET,Spark,15,15,4,4
C190671,11993,True,Mosaic Black,CHEVROLET,Spark,15,15,4,4
C190446,15448,True,Kinetic Blue,CHEVROLET,Sonic,15,15,4,4
C190438,15776,True,Shock,CHEVROLET,Sonic,16,16,4,4
C190692,14173,True,Mosaic Black,CHEVROLET,Cruze,15,15,4,4
CP6345,18690,False,Summit White,CHEVROLET,Impala,18,18,4,4
C190643,15095,True,Mosaic Black,CHEVROLET,Sonic,15,15,4,4
CP6354,15990,False,Tungsten Metallic,CHEVROLET,Cruze,16,16,4,4
C190667,14223,True,Mosaic Black,CHEVROLET,Cruze,15,15,4,4
C181418,22402,True,Summit White,CHEVROLET,Malibu,17,17,4,4
C190726,14592,True,Red,CHEVROLET,Sonic,16,16,4,4
190445A,28990,False,Quicksilver Metallic,BUICK,LaCrosse,18,18,4,4
C181365,17466,True,Summit White,CHEVROLET,Malibu,16,16,4,4
M180027A,11768,False,Toasted Marshmallow,CHEVROLET,Spark,15,15,4,4
C190447,15095,True,Red,CHEVROLET,Sonic,15,15,4,4
C181403,21902,True,Summit White,CHEVROLET,Malibu,17,17,4,4
C181359,29134,True,Pearl,CHEVROLET,Malibu,18,18,4,4
P4520,15990,False,Arctic Blue Metallic,CHEVROLET,Cruze,16,16,4,4
